Read name	Allele match
M01812:233:000000000-D4RGR:1:1101:15185:1343	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:15176:1364	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16359:1387	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16474:1388	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:15364:1418	A*02:16      	Read consensus has 1 mismatch
M01812:233:000000000-D4RGR:1:1101:17277:1436	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16790:1439	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16310:1453	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:15442:1460	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:14645:1465	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14099:1476	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:17210:1479	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16978:1492	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16050:1496	A*02:16      
M01812:233:000000000-D4RGR:1:1101:15159:1527	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:15938:1540	A*02:16      
M01812:233:000000000-D4RGR:1:1101:18025:1548	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:14711:1551	A*02:16      
M01812:233:000000000-D4RGR:1:1101:17859:1560	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14456:1560	A*02:16      
M01812:233:000000000-D4RGR:1:1101:17904:1572	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16009:1577	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16974:1625	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14120:1646	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14748:1661	A*02:16      
M01812:233:000000000-D4RGR:1:1101:15277:1663	A*02:16      
M01812:233:000000000-D4RGR:1:1101:15125:1700	A*02:16      
M01812:233:000000000-D4RGR:1:1101:17794:1705	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:17666:1706	A*02:16      	Read consensus has 1 mismatch
M01812:233:000000000-D4RGR:1:1101:18231:1713	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:15771:1718	A*02:16      
M01812:233:000000000-D4RGR:1:1101:18172:1735	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:13406:1755	A*02:16      
M01812:233:000000000-D4RGR:1:1101:13397:1770	A*03:01:01:01	Read consensus has 1 mismatch
M01812:233:000000000-D4RGR:1:1101:14747:1786	A*02:16      
M01812:233:000000000-D4RGR:1:1101:12075:1816	A*02:16      
M01812:233:000000000-D4RGR:1:1101:17923:1845	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16317:1872	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:13594:1878	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:12170:1881	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:12473:1903	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14593:1910	A*02:16      
M01812:233:000000000-D4RGR:1:1101:18053:1914	A*02:16      
M01812:233:000000000-D4RGR:1:1101:15205:1948	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:13918:1956	A*02:16      
M01812:233:000000000-D4RGR:1:1101:13421:1990	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:13859:1999	A*02:16      
M01812:233:000000000-D4RGR:1:1101:12683:2017	A*02:16      
M01812:233:000000000-D4RGR:1:1101:15667:2019	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16658:2025	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16495:2053	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:17577:2056	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:12153:2061	A*02:16      
M01812:233:000000000-D4RGR:1:1101:13353:2066	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:18947:2071	A*02:16      
M01812:233:000000000-D4RGR:1:1101:12515:2073	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:17151:2087	A*03:01:01:01	Read consensus has 1 mismatch
M01812:233:000000000-D4RGR:1:1101:19038:2088	A*02:16      
M01812:233:000000000-D4RGR:1:1101:20317:2110	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16359:2113	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14360:2126	A*02:16      
M01812:233:000000000-D4RGR:1:1101:16256:2134	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16626:2136	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16477:2138	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:16860:2140	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:14119:2162	A*02:16      
M01812:233:000000000-D4RGR:1:1101:13854:2167	A*02:16      
M01812:233:000000000-D4RGR:1:1101:18052:2167	A*02:16      
M01812:233:000000000-D4RGR:1:1101:13905:2168	A*02:16      
M01812:233:000000000-D4RGR:1:1101:13120:2172	A*03:01:01:01
M01812:233:000000000-D4RGR:1:1101:11296:2186	A*02:16      
M01812:233:000000000-D4RGR:1:1101:14655:2190	A*02:16      
