Read name	Allele match
M01812:233:000000000-D4RGR:1:1101:16474:1357	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16166:1378	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15777:1379	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15658:1381	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15075:1397	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16181:1430	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:14662:1431	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:14129:1449	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16474:1357	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16166:1378	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15777:1379	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15658:1381	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15075:1397	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16181:1430	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:14662:1431	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:14129:1449	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16474:1357	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16166:1378	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15777:1379	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15658:1381	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:15075:1397	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:16181:1430	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:14662:1431	B*51:01:01:01
M01812:233:000000000-D4RGR:1:1101:14129:1449	B*51:01:01:01
